id;opath;cpath;mgeom
4134021;2223;2223;LINESTRING(11.5690329465 48.1218430477,11.5690329465 48.1218430477)
4134022;2223;2223;LINESTRING(11.5690148865 48.1218522294,11.5690148865 48.1218522294)
4134023;2223;2223;LINESTRING(11.5689838674 48.1218679995,11.5689838674 48.1218679995)
4000011;3319;3319;LINESTRING(11.6218935442 48.1606182382,11.6218935442 48.1606182382)
4000012;3319;3319;LINESTRING(11.6218839722 48.1606086858,11.6218839722 48.1606086858)
4055011;22779;22779;LINESTRING(11.7057667951 48.1384549528,11.7057667951 48.1384549528)
4055012;22779;22779;LINESTRING(11.7057435755 48.1384598383,11.7057435755 48.1384598383)
10493006;434;434;LINESTRING(11.4944287729 48.1657568353,11.4944287729 48.1657568353)
14043057;25149;25149;LINESTRING(11.6232793095 48.2229324587,11.6232793095 48.2229324587)
4151012;3170;3170;LINESTRING(11.4841200134 48.1639479881,11.4841200134 48.1639479881)
14043023;18610;18610;LINESTRING(11.6250225479 48.2147247848,11.6250225479 48.2147247848)
14043060;29442;29442;LINESTRING(11.6230037847 48.2226445703,11.6230037847 48.2226445703)
14043028;29438;29438;LINESTRING(11.6246598444 48.2147776088,11.6246598444 48.2147776088)
4001012;34519;34519;LINESTRING(11.5948819914 48.1876689904,11.5948819914 48.1876689904)
4135011;2783;2783;LINESTRING(11.6213440985 48.186238606,11.6213440985 48.186238606)
10997007;9982;9982;LINESTRING(11.4575430302 48.2063360686,11.4575430302 48.2063360686)
4135021;2783;2783;LINESTRING(11.6214485551 48.1862028118,11.6214485551 48.1862028118)
4137022;7426;7426;LINESTRING(11.5275581186 48.1730017676,11.5275581186 48.1730017676)
14043062;29442;29442;LINESTRING(11.6230314114 48.2226340559,11.6230314114 48.2226340559)
4151021;3170;3170;LINESTRING(11.4841360707 48.1639467911,11.4841360707 48.1639467911)
4001013;34891;34891;LINESTRING(11.5948994597 48.1877638781,11.5948994597 48.1877638781)
4001014;34891;34891;LINESTRING(11.5949051634 48.1877632618,11.5949051634 48.1877632618)
11319001;3162;3162;LINESTRING(11.6086001676 48.194538811,11.6086001676 48.194538811)
14043030;18610;18610;LINESTRING(11.6256079017 48.2157933285,11.6256079017 48.2157933285)
4151022;3170;3170;LINESTRING(11.484116337 48.1639482621,11.484116337 48.1639482621)
10493007;9540;9540;LINESTRING(11.4927072638 48.1655192211,11.4927072638 48.1655192211)
4093011;1765;1765;LINESTRING(11.6858707571 48.1378086475,11.6858707571 48.1378086475)
4132021;3257;3257;LINESTRING(11.5433567726 48.1766491733,11.5433567726 48.1766491733)
10997009;9980;9980;LINESTRING(11.4581899183 48.206520518,11.4581899183 48.206520518)
4063012;29189;29189;LINESTRING(11.692510679 48.1334489229,11.692510679 48.1334489229)
14043035;29438;29438;LINESTRING(11.625263763 48.215862937,11.625263763 48.215862937)
4077011;22789;22789;LINESTRING(11.6916237281 48.139920338,11.6916237281 48.139920338)
4003011;35775;35775;LINESTRING(11.6061630899 48.156416595,11.6061630899 48.156416595)
11113003;2422;2422;LINESTRING(11.5476253897 48.1354194712,11.5476253897 48.1354194712)
11319003;18547;18547;LINESTRING(11.6086243079 48.1950221674,11.6086243079 48.1950221674)
4003012;35775;35775;LINESTRING(11.606165455 48.156415655,11.606165455 48.156415655)
10493008;9540;9540;LINESTRING(11.4927104881 48.1655048918,11.4927104881 48.1655048918)
4059011;3834;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231)
4132022;3258;3258;LINESTRING(11.5432796989 48.1765353814,11.5432796989 48.1765353814)
10079007;8768;8768;LINESTRING(11.6000057124 48.140581116,11.6000057124 48.140581116)
10128006;4460;4460;LINESTRING(11.5893761344 48.1250196344,11.5893761344 48.1250196344)
4012015;359;359;LINESTRING(11.5243980661 48.1280074672,11.5243980661 48.1280074672)
4132023;3258;3258;LINESTRING(11.5432848637 48.1765349674,11.5432848637 48.1765349674)
4059012;3834;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231)
10493009;9541;9541;LINESTRING(11.4925525329 48.165937843,11.4925525329 48.165937843)
4077012;22789;22789;LINESTRING(11.6916124268 48.1399161864,11.6916124268 48.1399161864)
4136011;3123;3123;LINESTRING(11.553890833 48.100301224,11.553890833 48.100301224)
11319006;10341;10341;LINESTRING(11.608937047 48.1951895672,11.608937047 48.1951895672)
11113006;2484;2484;LINESTRING(11.5474642531 48.1356491668,11.5474642531 48.1356491668)
4136021;3123;3123;LINESTRING(11.5539047957 48.1002983782,11.5539047957 48.1002983782)
4110022;9185;9185;LINESTRING(11.4806606685 48.1451446299,11.4806606685 48.1451446299)
4171021;11081;11081;LINESTRING(11.5989790633 48.1489825334,11.5989790633 48.1489825334)
10079008;8768;8768;LINESTRING(11.5998598853 48.1403195424,11.5998598853 48.1403195424)
10674006;19353;19353;LINESTRING(11.5574240439 48.1172676367,11.5574240439 48.1172676367)
4132024;1376;1376;LINESTRING(11.5433580328 48.1763071061,11.5433580328 48.1763071061)
10460002;18535;18535;LINESTRING(11.5257900838 48.0773480456,11.5257900838 48.0773480456)
14043037;18610;18610;LINESTRING(11.6263327157 48.2170463246,11.6263327157 48.2170463246)
4020013;7250;7250;LINESTRING(11.6169056393 48.1552993271,11.6169056393 48.1552993271)
4059013;3834;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231)
10070001;2212;2212;LINESTRING(11.5788670976 48.1291237442,11.5788670976 48.1291237442)
4137011;26869;26869;LINESTRING(11.5274314338 48.172876939,11.5274314338 48.172876939)
4012016;1326;1326;LINESTRING(11.5244800187 48.1278990424,11.5244800187 48.1278990424)
11319007;18545;18545;LINESTRING(11.6090903957 48.1949164622,11.6090903957 48.1949164622)
10253002;10997;10997;LINESTRING(11.6175493785 48.1148570238,11.6175493785 48.1148570238)
4081011;1580;1580;LINESTRING(11.6947122112 48.1405467577,11.6947122112 48.1405467577)
4137012;26869;26869;LINESTRING(11.5274401144 48.1728724972,11.5274401144 48.1728724972)
4046011;2067;2067;LINESTRING(11.6772370483 48.1400370932,11.6772370483 48.1400370932)
10199033;2293;2293;LINESTRING(11.6022755718 48.1153872647,11.6022755718 48.1153872647)
10128028;13241;13241;LINESTRING(11.5876590401 48.1240019732,11.5876590401 48.1240019732)
4132025;1376;1376;LINESTRING(11.5433586267 48.1763070995,11.5433586267 48.1763070995)
4137021;7426;7426;LINESTRING(11.5275890346 48.172986135,11.5275890346 48.172986135)
4139022;7346;7346;LINESTRING(11.5397044968 48.1149862434,11.5397044968 48.1149862434)
10285020;7236;7236;LINESTRING(11.6151108884 48.1528665489,11.6151108884 48.1528665489)
10674007;19353;19353;LINESTRING(11.557432126 48.1172789777,11.557432126 48.1172789777)
10199007;30472;30472;LINESTRING(11.6027238858 48.1160648477,11.6027238858 48.1160648477)
14043040;29438;29438;LINESTRING(11.6259807113 48.2171541102,11.6259807113 48.2171541102)
10280001;14935;14935;LINESTRING(11.6132103145 48.1243571198,11.6132103145 48.1243571198)
10285003;7236;7236;LINESTRING(11.6156951327 48.153621253,11.6156951327 48.153621253)
10560005;29178;29178;LINESTRING(11.6294600612 48.1539862321,11.6294600612 48.1539862321)
11113007;7318;7318;LINESTRING(11.5481963038 48.135877762,11.5481963038 48.135877762)
4004011;6265;6265;LINESTRING(11.59633366 48.1635112418,11.59633366 48.1635112418)
4066011;4895;4895;LINESTRING(11.7026614258 48.1335298154,11.7026614258 48.1335298154)
11039003;9981;9981;LINESTRING(11.4573103966 48.2042485416,11.4573103966 48.2042485416)
4081012;1580;1580;LINESTRING(11.6947122112 48.1405467577,11.6947122112 48.1405467577)
10495001;2239;2239;LINESTRING(11.5701444128 48.1201937426,11.5701444128 48.1201937426)
4157011;30620;30620;LINESTRING(11.5714791637 48.110698079,11.5714791637 48.110698079)
4004012;6265;6265;LINESTRING(11.5963266607 48.163524429,11.5963266607 48.163524429)
11273001;26591;26591;LINESTRING(11.5563033615 48.1613586285,11.5563033615 48.1613586285)
10275004;34853;34853;LINESTRING(11.5525504706 48.1613429674,11.5525504706 48.1613429674)
4144022;31711;31711;LINESTRING(11.5560669679 48.140743012,11.5560669679 48.140743012)
11178001;5378;5378;LINESTRING(11.5972751878 48.1357405616,11.5972751878 48.1357405616)
4020014;7250;7250;LINESTRING(11.6168902735 48.1552829289,11.6168902735 48.1552829289)
10039001;27949;27949;LINESTRING(11.5799702643 48.1154486026,11.5799702643 48.1154486026)
10070002;2212;2212;LINESTRING(11.5787452516 48.1290692631,11.5787452516 48.1290692631)
4097011;1337;1337;LINESTRING(11.5481088282 48.1121738034,11.5481088282 48.1121738034)
10253003;10997;10997;LINESTRING(11.6175431803 48.1148464626,11.6175431803 48.1148464626)
4160011;2982;2982;LINESTRING(11.6151265327 48.1410327189,11.6151265327 48.1410327189)
4005011;7142;7142;LINESTRING(11.5928613469 48.1754924001,11.5928613469 48.1754924001)
10113005;30268;30268;LINESTRING(11.5971553859 48.1497705203,11.5971553859 48.1497705203)
10495002;2224;2224;LINESTRING(11.5703194971 48.120683659,11.5703194971 48.120683659)
10128029;4460;4460;LINESTRING(11.5890807498 48.1248886416,11.5890807498 48.1248886416)
4060011;1173;1173;LINESTRING(11.6901957965 48.135976343,11.6901957965 48.135976343)
4133011;36099;36099;LINESTRING(11.5957525857 48.141031702,11.5957525857 48.141031702)
10285004;7236;7236;LINESTRING(11.6156893997 48.1536123769,11.6156893997 48.1536123769)
10285021;14259;14259;LINESTRING(11.6154973597 48.153867332,11.6154973597 48.153867332)
4119011;10654;10654;LINESTRING(11.5840756718 48.1564332126,11.5840756718 48.1564332126)
4102013;7261;7261;LINESTRING(11.6154326861 48.1428745927,11.6154326861 48.1428745927)
4172011;7792;7792;LINESTRING(11.5191598849 48.1425773928,11.5191598849 48.1425773928)
11017003;13952;13952;LINESTRING(11.6270360407 48.1414110351,11.6270360407 48.1414110351)
