id;opath;cpath;mgeom
1020003;58581;58581;LINESTRING(11.5599181426 48.1746024931,11.5599181426 48.1746024931)
4000011;42452;42452;LINESTRING(11.6218935442 48.1606182382,11.6218935442 48.1606182382)
4000012;42452;42452;LINESTRING(11.6218839722 48.1606086858,11.6218839722 48.1606086858)
4000013;121767;121767;LINESTRING(11.621774749 48.1606677518,11.621774749 48.1606677518)
4000014;42452;42452;LINESTRING(11.6218662655 48.1605910155,11.6218662655 48.1605910155)
4001011;105700;105700;LINESTRING(11.5948761555 48.1876696115,11.5948761555 48.1876696115)
4001012;105700;105700;LINESTRING(11.5948819914 48.1876689904,11.5948819914 48.1876689904)
4001013;58206;58206;LINESTRING(11.5948994597 48.1877638781,11.5948994597 48.1877638781)
4001014;58206;58206;LINESTRING(11.5949051634 48.1877632618,11.5949051634 48.1877632618)
4002011;88863;88863;LINESTRING(11.5788649471 48.1876579972,11.5788649471 48.1876579972)
4002012;88863;88863;LINESTRING(11.5788602355 48.187657842,11.5788602355 48.187657842)
4002013;106816;106816;LINESTRING(11.5788659245 48.1877504411,11.5788659245 48.1877504411)
4002014;106816;106816;LINESTRING(11.5788697015 48.1877505633,11.5788697015 48.1877505633)
4003011;2918;2918;LINESTRING(11.6061630899 48.156416595,11.6061630899 48.156416595)
4003012;2918;2918;LINESTRING(11.606165455 48.156415655,11.606165455 48.156415655)
4003013;52381;52381;LINESTRING(11.6062148884 48.1564858775,11.6062148884 48.1564858775)
4003014;52381;52381;LINESTRING(11.6062125538 48.1564868083,11.6062125538 48.1564868083)
4004011;87696;87696;LINESTRING(11.59633366 48.1635112418,11.59633366 48.1635112418)
4004012;87696;87696;LINESTRING(11.5963266607 48.163524429,11.5963266607 48.163524429)
4004013;147485;147485;LINESTRING(11.596205875 48.1634876219,11.596205875 48.1634876219)
4004014;147485;147485;LINESTRING(11.5962107699 48.163478749,11.5962107699 48.163478749)
4005011;58805;58805;LINESTRING(11.5928613469 48.1754924001,11.5928613469 48.1754924001)
4005012;58805;58805;LINESTRING(11.5928654447 48.1754905848,11.5928654447 48.1754905848)
4005013;58806;58806;LINESTRING(11.5929111996 48.1755851648,11.5929111996 48.1755851648)
4005014;122315;122315;LINESTRING(11.5929435939 48.1755722092,11.5929435939 48.1755722092)
4005015;122315;122315;LINESTRING(11.5929383371 48.1755742267,11.5929383371 48.1755742267)
4005016;122315;122315;LINESTRING(11.5929330803 48.1755762442,11.5929330803 48.1755762442)
4006011;4503;4503;LINESTRING(11.5704485297 48.1873731022,11.5704485297 48.1873731022)
11313006;123604;123604;LINESTRING(11.6051874225 48.1991428634,11.6051874225 48.1991428634)
10774001;46332;46332;LINESTRING(11.5902436347 48.2013948182,11.5902436347 48.2013948182)
4006012;4503;4503;LINESTRING(11.5704180347 48.1873720915,11.5704180347 48.1873720915)
11313007;123604;123604;LINESTRING(11.605174256 48.1991151659,11.605174256 48.1991151659)
4006021;107941;107941;LINESTRING(11.5703003678 48.1874672209,11.5703003678 48.1874672209)
10774002;28915;28915;LINESTRING(11.5892758793 48.2013097109,11.5892758793 48.2013097109)
11113016;147999;147999;LINESTRING(11.5474702 48.1356485921,11.5474702 48.1356485921)
10262015;108098;108098;LINESTRING(11.5505376493 48.185990301,11.5505376493 48.185990301)
14043038;139723;139723;LINESTRING(11.6263397661 48.2170698843,11.6263397661 48.2170698843)
11250002;134305;134305;LINESTRING(11.626685242 48.1991989515,11.626685242 48.1991989515)
11315005;50096;50096;LINESTRING(11.5859506161 48.172353156,11.5859506161 48.172353156)
10774005;41864;41864;LINESTRING(11.5895831561 48.2012693163,11.5895831561 48.2012693163)
4006022;107941;107941;LINESTRING(11.5704054104 48.1874707209,11.5704054104 48.1874707209)
4135021;51542;51542;LINESTRING(11.6214485551 48.1862028118,11.6214485551 48.1862028118)
10332010;117750;117750;LINESTRING(11.5643364767 48.2046952641,11.5643364767 48.2046952641)
10056003;135484;135484;LINESTRING(11.576643442 48.1276264406,11.576643442 48.1276264406)
10560004;103922;103922;LINESTRING(11.6287684441 48.1534370048,11.6287684441 48.1534370048)
14043039;72648;72648;LINESTRING(11.625973893 48.2171427476,11.625973893 48.2171427476)
10252022;110218;110218;LINESTRING(11.6205585929 48.120273839,11.6205585929 48.120273839)
10401003;105827;105827;LINESTRING(11.5865839236 48.2104349092,11.5865839236 48.2104349092)
11319001;45343;45343;LINESTRING(11.6086001676 48.194538811,11.6086001676 48.194538811)
11250003;134305;134305;LINESTRING(11.6267971012 48.1991683646,11.6267971012 48.1991683646)
10918003;130893;130893;LINESTRING(11.5762328396 48.1878336804,11.5762328396 48.1878336804)
10167002;702;702;LINESTRING(11.502743737 48.124535617,11.502743737 48.124535617)
10262016;161639;161639;LINESTRING(11.5522807144 48.1860907776,11.5522807144 48.1860907776)
10699011;118331;118331;LINESTRING(11.5298736308 48.1765193029,11.5298736308 48.1765193029)
11319002;45343;45343;LINESTRING(11.6087193454 48.1947657481,11.6087193454 48.1947657481)
10011001;31975;31975;LINESTRING(11.584267331 48.156840724,11.584267331 48.156840724)
4113013;106990;106990;LINESTRING(11.5532008888 48.154859088,11.5532008888 48.154859088)
10476003;134912;134912;LINESTRING(11.5367187285 48.1257754714,11.5367187285 48.1257754714)
11122001;51932;51932;LINESTRING(11.4583634561 48.1948043502,11.4583634561 48.1948043502)
10178007;55095;55095;LINESTRING(11.5836340356 48.1877860808,11.5836340356 48.1877860808)
4136011;78970;78970;LINESTRING(11.553890833 48.100301224,11.553890833 48.100301224)
10018010;61017;61017;LINESTRING(11.5790023482 48.1456302188,11.5790023482 48.1456302188)
14043040;72648;72648;LINESTRING(11.6259807113 48.2171541102,11.6259807113 48.2171541102)
10656003;89845;89845;LINESTRING(11.586523055 48.1638244655,11.586523055 48.1638244655)
10105001;64803;64803;LINESTRING(11.559429483 48.1455946224,11.559429483 48.1455946224)
10460001;29289;29289;LINESTRING(11.5256275519 48.0772216707,11.5256275519 48.0772216707)
4007011;69497;69497;LINESTRING(11.5608250072 48.1866840738,11.5608250072 48.1866840738)
11319003;81410;81410;LINESTRING(11.6086243079 48.1950221674,11.6086243079 48.1950221674)
10519006;115820;115820;LINESTRING(11.5671353648 48.1845431774,11.5671353648 48.1845431774)
11020004;66326;66326;LINESTRING(11.5670784593 48.1759657186,11.5670784593 48.1759657186)
10056004;135484;135484;LINESTRING(11.5766946812 48.1275878883,11.5766946812 48.1275878883)
10918004;130893;130893;LINESTRING(11.5762324981 48.1878383661,11.5762324981 48.1878383661)
10560005;42530;42530;LINESTRING(11.6294600612 48.1539862321,11.6294600612 48.1539862321)
10096003;114872;114872;LINESTRING(11.5396379075 48.1104490685,11.5396379075 48.1104490685)
11047006;63639;63639;LINESTRING(11.5132652 48.1537513,11.5132652 48.1537513)
11122002;51932;51932;LINESTRING(11.4581923462 48.1949576418,11.4581923462 48.1949576418)
10091001;162842;162842;LINESTRING(11.5633709525 48.1604530413,11.5633709525 48.1604530413)
10332020;106740;106740;LINESTRING(11.5637558048 48.2041972687,11.5637558048 48.2041972687)
4136021;78970;78970;LINESTRING(11.5539047957 48.1002983782,11.5539047957 48.1002983782)
10204005;42912;42912;LINESTRING(11.5738682959 48.1326512795,11.5738682959 48.1326512795)
10184003;60405;60405;LINESTRING(11.5686912164 48.1610864723,11.5686912164 48.1610864723)
10589005;119821;119821;LINESTRING(11.564734808 48.1700627924,11.564734808 48.1700627924)
10252023;110218;110218;LINESTRING(11.6205644582 48.1202735403,11.6205644582 48.1202735403)
10374016;19915;19915;LINESTRING(11.5828593068 48.1353086738,11.5828593068 48.1353086738)
11319004;81410;81410;LINESTRING(11.6085619336 48.1950359216,11.6085619336 48.1950359216)
10254004;110258;110258;LINESTRING(11.6165948594 48.1136606315,11.6165948594 48.1136606315)
4010023;637;637;LINESTRING(11.5801905239 48.1068856556,11.5801905239 48.1068856556)
14043041;72648;72648;LINESTRING(11.6259797026 48.2171524291,11.6259797026 48.2171524291)
10401004;11725;11725;LINESTRING(11.5872913526 48.2104836529,11.5872913526 48.2104836529)
10005006;134951;134951;LINESTRING(11.5826684828 48.1342847411,11.5826684828 48.1342847411)
10011002;31975;31975;LINESTRING(11.5842633597 48.15683228,11.5842633597 48.15683228)
10954007;106969;106969;LINESTRING(11.567141108 48.2091585205,11.567141108 48.2091585205)
10126003;129682;129682;LINESTRING(11.5117680983 48.1810118452,11.5117680983 48.1810118452)
10476004;89907;89907;LINESTRING(11.5366724511 48.1256523971,11.5366724511 48.1256523971)
11319006;59173;59173;LINESTRING(11.608937047 48.1951895672,11.608937047 48.1951895672)
10918005;80164;80164;LINESTRING(11.5762727945 48.1874223981,11.5762727945 48.1874223981)
11122003;51746;51746;LINESTRING(11.4578465939 48.1951211656,11.4578465939 48.1951211656)
4026011;119635;119635;LINESTRING(11.4805706708 48.0951071602,11.4805706708 48.0951071602)
10178008;117392;117392;LINESTRING(11.5842679936 48.1884099991,11.5842679936 48.1884099991)
10250028;11193;11193;LINESTRING(11.5854986297 48.1774551949,11.5854986297 48.1774551949)
10699012;118331;118331;LINESTRING(11.5298719566 48.1765193175,11.5298719566 48.1765193175)
4137011;70175;70175;LINESTRING(11.5274314338 48.172876939,11.5274314338 48.172876939)
10066002;113035;113035;LINESTRING(11.5793127204 48.146308375,11.5793127204 48.146308375)
10460002;29290;29290;LINESTRING(11.5257900838 48.0773480456,11.5257900838 48.0773480456)
11020005;93732;93732;LINESTRING(11.5670896192 48.1754946238,11.5670896192 48.1754946238)
10167003;702;702;LINESTRING(11.5027446305 48.124547413,11.5027446305 48.124547413)
4007012;69497;69497;LINESTRING(11.5608278379 48.1866843088,11.5608278379 48.1866843088)
10018011;120726;120726;LINESTRING(11.5794419489 48.1452434346,11.5794419489 48.1452434346)
10298008;109229;109229;LINESTRING(11.5346975969 48.110707955,11.5346975969 48.110707955)
10056005;101993;101993;LINESTRING(11.5756611271 48.1275541126,11.5756611271 48.1275541126)
10291001;83425;83425;LINESTRING(11.5950447826 48.1100459618,11.5950447826 48.1100459618)
10775003;114370;114370;LINESTRING(11.5674516655 48.1778389354,11.5674516655 48.1778389354)
14043042;67849;67849;LINESTRING(11.6263012715 48.2176902241,11.6263012715 48.2176902241)
10394004;135059;135059;LINESTRING(11.5449652743 48.1282461426,11.5449652743 48.1282461426)
11267001;31728;31728;LINESTRING(11.4810606349 48.180486132,11.4810606349 48.180486132)
10918006;80164;80164;LINESTRING(11.5762724882 48.1874257157,11.5762724882 48.1874257157)
10282007;90704;90704;LINESTRING(11.6072100205 48.150469452,11.6072100205 48.150469452)
10096004;11610;11610;LINESTRING(11.5398897164 48.1099559219,11.5398897164 48.1099559219)
10374017;19915;19915;LINESTRING(11.5827959788 48.1352767634,11.5827959788 48.1352767634)
10005007;134951;134951;LINESTRING(11.5826629326 48.1342932694,11.5826629326 48.1342932694)
11122004;51746;51746;LINESTRING(11.4576028689 48.1950789312,11.4576028689 48.1950789312)
10105002;149609;149609;LINESTRING(11.5590063947 48.1452723935,11.5590063947 48.1452723935)
10047008;128485;128485;LINESTRING(11.5590589049 48.1298351095,11.5590589049 48.1298351095)
10280002;159626;159626;LINESTRING(11.6131956788 48.1242303531,11.6131956788 48.1242303531)
10656004;19491;19491;LINESTRING(11.5863481176 48.1647091939,11.5863481176 48.1647091939)
11319007;63941;63941;LINESTRING(11.6090903957 48.1949164622,11.6090903957 48.1949164622)
11020009;133191;133191;LINESTRING(11.5665958841 48.1757997637,11.5665958841 48.1757997637)
4166021;83083;83083;LINESTRING(11.5960191888 48.1361254109,11.5960191888 48.1361254109)
10184004;128296;128296;LINESTRING(11.5680077234 48.1611558009,11.5680077234 48.1611558009)
10589006;11126;11126;LINESTRING(11.5640083406 48.1704616371,11.5640083406 48.1704616371)
10476011;89907;89907;LINESTRING(11.5367638925 48.1256259881,11.5367638925 48.1256259881)
10519016;131122;131122;LINESTRING(11.5667934792 48.1845485517,11.5667934792 48.1845485517)
10011003;109546;109546;LINESTRING(11.5839512507 48.1573465534,11.5839512507 48.1573465534)
10401005;11725;11725;LINESTRING(11.5872846184 48.2104523278,11.5872846184 48.2104523278)
4137012;70175;70175;LINESTRING(11.5274401144 48.1728724972,11.5274401144 48.1728724972)
14043044;67850;67850;LINESTRING(11.6266985669 48.218483077,11.6266985669 48.218483077)
10268001;162827;162827;LINESTRING(11.5641267046 48.1630537152,11.5641267046 48.1630537152)
10560006;42530;42530;LINESTRING(11.6294769319 48.1540776054,11.6294769319 48.1540776054)
11122005;1541;1541;LINESTRING(11.4580438562 48.1955630389,11.4580438562 48.1955630389)
10076005;129016;129016;LINESTRING(11.560815207 48.1422814643,11.560815207 48.1422814643)
10954008;117651;117651;LINESTRING(11.5681452446 48.2093556803,11.5681452446 48.2093556803)
10126004;57070;57070;LINESTRING(11.5112070726 48.180854871,11.5112070726 48.180854871)
10332021;106740;106740;LINESTRING(11.5637548809 48.204203908,11.5637548809 48.204203908)
10162003;88807;88807;LINESTRING(11.5743832871 48.1478711714,11.5743832871 48.1478711714)
10243011;82485;82485;LINESTRING(11.5371504064 48.1511984631,11.5371504064 48.1511984631)
10254005;110258;110258;LINESTRING(11.6166002932 48.1136667617,11.6166002932 48.1136667617)
4026012;119635;119635;LINESTRING(11.4805698123 48.0951071878,11.4805698123 48.0951071878)
4113014;106990;106990;LINESTRING(11.5531915821 48.1548662688,11.5531915821 48.1548662688)
10066003;113035;113035;LINESTRING(11.5793109495 48.146304589,11.5793109495 48.146304589)
